Franchise Era Ledger Index v1.0
Source Spine: Oakland_Athletics_Master_Stats_v1.1_Integrated_2039.xlsx
Harmony Ref: HVL-2040A

Eras
- The Rise (2025–2028)
- The Apex (2029–2035)
- The Fade (2036–2039)

Linked TrueSource Profiles (sample, 2039):
- Richards, Martin — 3B
- Aitken, Mark — 1B
- Horn, Danny — CF
- Kelley, Isley — SS
- Gonzalez, Vladimir — RF
- Colón, José — C
- Busch, Peter — LF
- Rodríguez, Agustín — 2B
- Davis, Darrin — DH
- Keane, Vinnie — 3B
- Owens, Jimmy — 2B
- Waite, Demarcus — RF
- Casto, Antonio — 1B
- Gaspar, Thomas — LF
- Rivas, Henry — SP
- Ramos, Arturo — SP
- Brever, John — SP
- Lopez, Allen — SP
- Ellis, John — SP
- Bautista, Antone — RP
- Robertson, Gary — RP
- Ka, Hitoki — RP
- Devine, Ian — RP
- Peña, Edmundo — CL
