RELATIONSHIP_BONDS live export 2026-08-17T04:07:05.502Z
BondId	CitizenA	CitizenB	BondType	Intensity	Status	Origin	DomainTag	Neighborhood	CycleCreated	LastUpdate	Notes	Holiday	HolidayPriority	FirstFriday	CreationDay	SportsSeason
BOND-9CF02D7E	POP-00001	POP-00002	family	8	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-39BB228F	POP-00004	POP-01029	family	10	active	household		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-714C9C55	POP-00005	POP-00594	family	10	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A4D01D21	POP-00018	POP-00742	family	9	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-54A4C1B9	POP-00018	POP-00743	family	10	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-EDA1607F	POP-00742	POP-00743	family	9	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-93E80E96	POP-00023	POP-01030	family	8	active	household		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-356EE2CA	POP-00024	POP-01031	family	10	active	household		Uptown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B4C1AB67	POP-00035	POP-01033	family	9	active	household		Uptown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-FD231179	POP-00037	POP-01034	family	10	active	household		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8AA6D855	POP-00038	POP-01035	family	9	active	household		Temescal	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-32CF5D96	POP-00040	POP-01036	family	9	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A7591D5D	POP-00231	POP-01037	family	8	active	household		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-076986EF	POP-00316	POP-00348	family	9	active	household		Uptown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-62A928EF	POP-00509	POP-01038	family	10	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8FED6A0D	POP-00514	POP-00943	family	8	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-736A1509	POP-00528	POP-01039	family	8	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-94E470A0	POP-00536	POP-01040	family	10	active	household		Uptown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-5CEE11A6	POP-00591	POP-01041	family	9	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-DE306B11	POP-00641	POP-01018	family	8	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A4C245FE	POP-00642	POP-01017	family	10	active	household		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-6F294929	POP-00644	POP-01016	family	8	active	household		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D0552B7A	POP-00647	POP-01015	family	8	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B738CF50	POP-00652	POP-01014	family	10	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-EBBBFA03	POP-00653	POP-01013	family	8	active	household		Uptown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-650DDF55	POP-00654	POP-01012	family	8	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-3C5AD2D2	POP-00665	POP-01011	family	9	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-78523185	POP-00666	POP-01010	family	10	active	household		Temescal	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-5872FE3F	POP-00669	POP-01009	family	10	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-EDB01054	POP-00673	POP-01008	family	9	active	household		Uptown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-4C11323C	POP-00678	POP-01007	family	10	active	household		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-7046FE78	POP-00680	POP-01006	family	8	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-E5CF9C92	POP-00683	POP-01005	family	10	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-9D71553B	POP-00685	POP-01004	family	9	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-55D71AA6	POP-00686	POP-01003	family	8	active	household		Uptown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8D9F9BB0	POP-00688	POP-01002	family	10	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-362B5FB0	POP-00691	POP-01001	family	8	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-CAFA3FE7	POP-00692	POP-01000	family	10	active	household		Piedmont Ave	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-40D937E9	POP-00696	POP-00998	family	9	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-E4D9173C	POP-00697	POP-00997	family	10	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
